nama_spklu,periode_data,owner_operator,lokasi,jumlah_unit,teknologi
"SPKLU HVT MAMPANG BUSINESS PARK",2025,"PT HIGH VOLT TECHNOLOGY","KOMPLEKS RUKO MAMPANG BUSINESS PARK, JL. BUNCIT RAYA, DUREN TIGA, KEC. PANCORAN, KOTA JAKARTA SELATAN, DKI JAKARTA 12760",1,"FAST CHARGING"
"SPKLU MENARA DANAREKSA",2025,PLN,"JL. H. AGUS SALIM 12, GAMBIR, JAKARTA PUSAT, DKI JAKARTA 10110",1,"ULTRA FAST CHARGING"
"SPKLU KLHK FC (KEMENTRIAN LINGKUNGAN HIDUP DAN KEHUTANAN)",2025,PLN,"JL. PEJOMPONGAN RAYA NO.1, RT.1/RW.3, BEND. HILIR, KECAMATAN TANAH ABANG, KOTA JAKARTA PUSAT, DKI JAKARTA 10270",1,"FAST CHARGING"
"SPKLU KOTA TUA",2025,PLN,"KOTA TUA, PINANGSIA, KEC. TAMAN SARI, KOTA JAKARTA BARAT, DKI JAKARTA 11110",3,"MEDIUM CHARGING"
"SPKLU HVT THE MANSION AT KEMANG",2025,"PT HIGH VOLT TECHNOLOGY","THE MANSION AT KEMANG, BANGKA, KEC. MAMPANG PRPT., KOTA JAKARTA SELATAN, DKI JAKARTA 12720",1,"FAST CHARGING"
"SPKLU APARTEMEN GARDENIA BOULEVARD",2025,PLN,"JL. TAMAN MARGASATWA RAYA 18, JATI PADANG, PS. MINGGU, KOTA JAKARTA SELATAN, DKI JAKARTA 12540",2,"MEDIUM CHARGING"
"SPKLU PBSI",2025,PLN,"JL PELATNAS PBSI, CIPAYUNG, KOTA JAKARTA TIMUR, DAERAH KHUSUS IBUKOTA JAKARTA 13840",1,"MEDIUM CHARGING"
"SPKLU KANTOR KELURAHAN KRAMAT JATI",2025,PLN,"JL. KERJA BAKTI NO.32, RT.2/RW.10, KRAMAT JATI, KEC. KRAMAT JATI, KOTA JAKARTA TIMUR, DKI JAKARTA 13510",1,"MEDIUM CHARGING"
"SPKLU HOTEL POMELOTEL",2025,PLN,"JL. DUKUH PATRA, RT.11/RW.1, MENTENG DALAM, KEC. TEBET, KOTA JAKARTA SELATAN, DAERAH KHUSUS IBUKOTA JAKARTA 12870",1,"MEDIUM CHARGING"
"SPKLU GUDANG PLN UP3 PONDOK GEDE",2025,PLN,"GUDANG PLN UP3 PONDOK GEDE",1,"MEDIUM CHARGING"
"SPKLU LIPPO MALL KRAMAT JATI",2025,PLN,"JL. RAYA JAKARTA-BOGOR, KRAMAT JATI, KEC. KRAMAT JATI, KOTA JAKARTA TIMUR, DAERAH KHUSUS IBUKOTA JAKARTA 13510",1,"MEDIUM CHARGING"
"SPKLU BANK BNI SUNTER",2025,PLN,"JAKARTA UTARA, RT.8/RW.15, SUNTER AGUNG, KEC. TJ. PRIOK, JKT UTARA, DAERAH KHUSUS IBUKOTA JAKARTA 14350",1,"MEDIUM CHARGING"
"SPKLU PLN HALEYORA",2025,PLN,"JL. RAYA LENTENG AGUNG NO.5, LENTENG AGUNG, KEC. JAGAKARSA, KOTA JAKARTA SELATAN, DAERAH KHUSUS IBUKOTA JAKARTA 12530",1,"MEDIUM CHARGING"
"SPKLU PLN UPDL JAKARTA",2025,PLN,"JL. LETJEN S. PARMAN NO.27, SLIPI, KEC. GROGOL PETAMBURAN, KOTA JAKARTA BARAT, DKI JAKARTA 11480",1,"MEDIUM CHARGING"
"SPKLU SPBU KELAPA DUA",2025,PLN,"JL. H. KELIK, KELAPA DUA, KEC. KEBON JERUK, KOTA JAKARTA BARAT, DKI JAKARTA 11550",1,"FAST CHARGING"
"SPKLU IT PLN",2025,PLN,"JL. DURI CENGKARENG RAYA NO.3, DURI KOSAMBI, KECAMATAN CENGKARENG, KOTA JAKARTA BARAT, DKI JAKARTA 11750",1,"FAST CHARGING"
"SPKLU CV HIDUP MAKMUR",2025,PLN,"RUKO INTERCON JL MERUYA ILIR RAYA, BLOK D, SRENGSENG, KEC. KEMBANGAN, KOTA JAKARTA BARAT, DKI JAKARTA 11650",2,"MEDIUM CHARGING"
"SPKLU (ARISTA POWER) BYD ARISTA PONDOK INDAH",2025,ARISTA,"JL. H. NAWI NO.17, GANDARIA UTARA, KEC. KBY. BARU, KOTA JAKARTA SELATAN, DKI JAKARTA 12140",4,"ULTRA FAST CHARGING"
"SPKLU KLHK MC (KEMENTRIAN LINGKUNGAN HIDUP DAN KEHUTANAN)",2025,PLN,"JL. PEJOMPONGAN RAYA NO.1, RT.1/RW.3, BEND. HILIR, KECAMATAN TANAH ABANG, KOTA JAKARTA PUSAT, DKI JAKARTA 10270",1,"MEDIUM CHARGING"
"SPKLU NINDYA KARYA",2025,"NINDYA KARYA","JI. LETJEN MT. HARYONO KAV. 22 CAWANG, KEC. KRAMAT JATI, KOTA JAKARTA TIMUR, DKI JAKARTA 13630",1,"ULTRA FAST CHARGING"
"SPKLU EVCITY PLN PUSAT",2025,"PT LISTRIK ANUGERAH DIVINA","JALAN TRUNOJOYO BLOK M – I NO 135 KEBAYORAN BARU, JAKARTA",1,"ULTRA FAST CHARGING"
"SPKLU XLSMART TOWER",2025,PLN,"JL H RASUNA SAID NO KAV 11-12 BLOK X5 KUNINGAN",1,"MEDIUM CHARGING"
